Year,State,State.abb,Age,Gender,New_heart_disease_crude_value,New_teeth_removal_value,New_dental_visit_value,New_grocery_stores_value,New_supercenter_value,New_convenience_stores_value,New_fastfood_restaurant_value,New_fullservice_restaurant_value,New_foodinsecurity_value,New_farmersmarket_value
1999,Arkansas,AR,85+,Male,8866,32.1,61,151.25,13.47,260.95,4026.6,3869.45,12.77,74.1
1999,California,CA,55-64,Male,394,54.1,68.3,396.97,37.26,1648.67,4037.58,3893.53,12.80,73.05
1999,California,CA,85+,Male,8856.6,54.1,68.3,752.47,71.69,3656.37,4044.45,3908.6,12.80,72.18
1999,California,CA,45-54,Male,144.5,54.1,68.3,926.07,88.49,4636.76,4046.95,3914.08,12.80,71.54
1999,California,CA,35-44,Female,19.3,54.1,68.3,893.84,85.37,4454.74,4046.49,3913.08,12.80,71.12
1999,California,CA,45-54,Female,61.5,54.1,68.3,842.5,80.4,4164.81,4045.77,3911.49,12.80,70.95
1999,California,CA,55-64,Female,193.3,54.1,68.3,847.66,80.9,4193.97,4045.84,3911.65,12.80,70.97
1999,California,CA,75-84,Female,2109.1,54.1,68.3,862.84,82.37,4279.71,4046.06,3912.12,12.80,71.01
1999,California,CA,75-84,Male,2969.6,54.1,68.3,862.55,82.34,4278.03,4046.06,3912.12,12.80,71.01
1999,California,CA,85+,Female,8594.6,54.1,68.3,858.18,81.92,4253.35,4045.98,3911.97,12.81,71
1999,California,CA,35-44,Male,40,54.1,68.3,857.92,81.9,4251.91,4045.96,3911.95,12.78,71
1999,California,CA,65-74,Female,632.8,54.1,68.3,859.15,82.01,4258.85,4046.01,3912.02,12.83,71
1999,California,CA,65-74,Male,1070.1,54.1,68.3,859.33,82.03,4259.88,4046.09,3912.09,12.83,71
1999,Colorado,CO,55-64,Male,328.2,54.9,69.5,858.98,82,4257.89,4045.98,3911.98,12.00,71
1999,Colorado,CO,85+,Male,7179.3,54.9,69.5,858.87,81.99,4257.18,4045.69,3911.72,11.71,71
1999,Colorado,CO,35-44,Female,16.4,54.9,69.5,858.99,82,4257.94,4045.96,3911.97,11.83,71
1999,Colorado,CO,65-74,Female,529.3,54.9,69.5,859.17,82.02,4259.22,4047.07,3912.97,11.79,71
1999,Colorado,CO,65-74,Male,881.4,54.9,69.5,859.06,82.01,4258.46,4046.44,3912.4,11.80,71
1999,Colorado,CO,45-54,Male,100.9,54.9,69.5,858.49,81.95,4254.3,4042.36,3908.68,11.80,71.01
1999,Colorado,CO,55-64,Female,135.1,54.9,69.5,858.64,81.97,4255.4,4043.42,3909.65,11.80,71.01
1999,Colorado,CO,35-44,Male,35.6,54.9,69.5,860.66,82.16,4270.15,4058.09,3923.01,11.80,70.97
1999,Colorado,CO,45-54,Female,36.5,54.9,69.5,860.7,82.16,4270.4,4058.34,3923.24,11.80,70.97
1999,Colorado,CO,85+,Female,7160.3,54.9,69.5,853.65,81.49,4218.93,4007.11,3876.58,11.80,71.1
1999,Colorado,CO,75-84,Female,1747.8,54.9,69.5,851.62,81.29,4204.1,3992.35,3863.14,11.80,71.15
1999,Colorado,CO,75-84,Male,2549.2,54.9,69.5,875.57,83.59,4379.03,4166.49,4021.73,11.82,70.68
1999,Connecticut,CT,75-84,Male,2829.8,55.8,79.9,889.25,84.91,4478.99,4265.99,4112.35,11.72,70.4
1999,Connecticut,CT,55-64,Male,369.4,55.8,79.9,807.53,77.06,3882,3671.71,3571.12,12.00,71.92
1999,Connecticut,CT,45-54,Male,133.9,55.8,79.9,644.74,61.43,2692.9,2488,2493.05,11.57,73.33
1999,Connecticut,CT,35-44,Female,14.9,55.8,79.9,534.69,50.86,1889.03,1687.77,1764.25,8.82,68.42
1999,Connecticut,CT,65-74,Female,546.3,55.8,79.9,533,50.7,1876.72,1675.52,1753.09,8.40,56.78
1999,Connecticut,CT,75-84,Female,1852.4,55.8,79.9,561.48,53.43,2084.75,1882.6,1941.69,8.68,47.84
1999,Connecticut,CT,65-74,Male,971.4,55.8,79.9,564.18,53.69,2104.44,1902.2,1959.55,8.58,47.03
1999,Connecticut,CT,55-64,Female,168.4,55.8,79.9,556.3,52.93,2046.89,1844.92,1907.37,8.60,49.17
1999,Connecticut,CT,35-44,Male,35.8,55.8,79.9,554.89,52.8,2036.64,1834.72,1898.08,8.60,49.57
1999,Connecticut,CT,45-54,Female,54.4,55.8,79.9,557.02,53,2052.17,1850.17,1912.15,8.60,49
1999,Connecticut,CT,85+,Male,8369.9,55.8,79.9,557.67,53.06,2056.62,1854.57,1916.19,8.60,48.84
1999,Connecticut,CT,85+,Female,7367.8,55.8,79.9,557.06,53,2052.41,1850.4,1912.37,8.60,48.99
1999,Delaware,DE,75-84,Male,2948.5,47.9,73,556.59,52.98,2049.87,1847.98,1910.05,8.60,49.05
1999,Delaware,DE,65-74,Male,1182.7,47.9,73,556.84,53,2051.29,1849.35,1911.35,8.60,49.01
1999,Delaware,DE,35-44,Female,37.2,47.9,73,557.86,53.02,2055.44,1853.07,1915.16,8.61,48.97
1999,Delaware,DE,55-64,Female,185.5,47.9,73,557.71,53.01,2054.73,1852.42,1914.52,8.55,48.98
1999,Delaware,DE,35-44,Male,54.5,47.9,73,554.31,52.96,2041.73,1840.92,1902.55,8.76,49.05
1999,Delaware,DE,75-84,Female,2087.6,47.9,73,553.83,52.95,2039.94,1839.35,1900.9,8.23,49.06
1999,Delaware,DE,45-54,Male,160,47.9,73,565.47,53.13,2084.25,1878.47,1941.67,6.75,48.85
1999,Delaware,DE,85+,Male,7692.3,47.9,73,570.33,53.2,2102.74,1894.8,1958.7,6.75,48.75
1999,Delaware,DE,65-74,Female,740,47.9,73,531.32,52.61,1954.26,1763.71,1822.06,6.83,49.46
1999,Delaware,DE,45-54,Female,73,47.9,73,503.47,52.18,1848.3,1670.15,1724.54,6.79,49.99
